time,screen,pupil,subject_id,stimulus_id,pixel
2363445,stimulus_Lit_NorthWind_7_page_1,1598.0,7,practice2,77.3
2363445,stimulus_Lit_NorthWind_7_page_1,1598.0,7,practice2,105.1
2363447,stimulus_Lit_NorthWind_7_page_1,1601.0,7,practice2,77.4
2363447,stimulus_Lit_NorthWind_7_page_1,1601.0,7,practice2,105.3
2363449,stimulus_Lit_NorthWind_7_page_1,1599.0,7,practice2,76.7
2363449,stimulus_Lit_NorthWind_7_page_1,1599.0,7,practice2,105.4
2363451,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,76.5
2363451,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,105.6
2363453,stimulus_Lit_NorthWind_7_page_1,1595.0,7,practice2,77.0
2363453,stimulus_Lit_NorthWind_7_page_1,1595.0,7,practice2,106.0
2363455,stimulus_Lit_NorthWind_7_page_1,1598.0,7,practice2,77.1
2363455,stimulus_Lit_NorthWind_7_page_1,1598.0,7,practice2,106.0
2363457,stimulus_Lit_NorthWind_7_page_1,1603.0,7,practice2,77.2
2363457,stimulus_Lit_NorthWind_7_page_1,1603.0,7,practice2,106.2
2363459,stimulus_Lit_NorthWind_7_page_1,1605.0,7,practice2,77.1
2363459,stimulus_Lit_NorthWind_7_page_1,1605.0,7,practice2,106.3
2363461,stimulus_Lit_NorthWind_7_page_1,1602.0,7,practice2,76.8
2363461,stimulus_Lit_NorthWind_7_page_1,1602.0,7,practice2,106.1
2363463,stimulus_Lit_NorthWind_7_page_1,1602.0,7,practice2,76.8
2363463,stimulus_Lit_NorthWind_7_page_1,1602.0,7,practice2,106.1
2363465,stimulus_Lit_NorthWind_7_page_1,1604.0,7,practice2,76.7
2363465,stimulus_Lit_NorthWind_7_page_1,1604.0,7,practice2,106.4
2363467,stimulus_Lit_NorthWind_7_page_1,1604.0,7,practice2,76.6
2363467,stimulus_Lit_NorthWind_7_page_1,1604.0,7,practice2,106.4
2363469,stimulus_Lit_NorthWind_7_page_1,1604.0,7,practice2,76.7
2363469,stimulus_Lit_NorthWind_7_page_1,1604.0,7,practice2,106.6
2363471,stimulus_Lit_NorthWind_7_page_1,1602.0,7,practice2,77.3
2363471,stimulus_Lit_NorthWind_7_page_1,1602.0,7,practice2,106.7
2363473,stimulus_Lit_NorthWind_7_page_1,1599.0,7,practice2,77.4
2363473,stimulus_Lit_NorthWind_7_page_1,1599.0,7,practice2,106.9
2363475,stimulus_Lit_NorthWind_7_page_1,1602.0,7,practice2,77.4
2363475,stimulus_Lit_NorthWind_7_page_1,1602.0,7,practice2,107.5
2363477,stimulus_Lit_NorthWind_7_page_1,1606.0,7,practice2,77.4
2363477,stimulus_Lit_NorthWind_7_page_1,1606.0,7,practice2,107.5
2363479,stimulus_Lit_NorthWind_7_page_1,1608.0,7,practice2,77.4
2363479,stimulus_Lit_NorthWind_7_page_1,1608.0,7,practice2,107.5
2363481,stimulus_Lit_NorthWind_7_page_1,1610.0,7,practice2,77.3
2363481,stimulus_Lit_NorthWind_7_page_1,1610.0,7,practice2,107.5
2363483,stimulus_Lit_NorthWind_7_page_1,1610.0,7,practice2,77.1
2363483,stimulus_Lit_NorthWind_7_page_1,1610.0,7,practice2,107.8
2363485,stimulus_Lit_NorthWind_7_page_1,1607.0,7,practice2,77.1
2363485,stimulus_Lit_NorthWind_7_page_1,1607.0,7,practice2,107.8
2363487,stimulus_Lit_NorthWind_7_page_1,1606.0,7,practice2,77.0
2363487,stimulus_Lit_NorthWind_7_page_1,1606.0,7,practice2,107.8
2363489,stimulus_Lit_NorthWind_7_page_1,1605.0,7,practice2,76.9
2363489,stimulus_Lit_NorthWind_7_page_1,1605.0,7,practice2,107.8
2363491,stimulus_Lit_NorthWind_7_page_1,1603.0,7,practice2,77.3
2363491,stimulus_Lit_NorthWind_7_page_1,1603.0,7,practice2,108.1
2363493,stimulus_Lit_NorthWind_7_page_1,1601.0,7,practice2,77.4
2363493,stimulus_Lit_NorthWind_7_page_1,1601.0,7,practice2,108.6
2363495,stimulus_Lit_NorthWind_7_page_1,1604.0,7,practice2,77.2
2363495,stimulus_Lit_NorthWind_7_page_1,1604.0,7,practice2,108.3
2363497,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,77.3
2363497,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,108.1
